"","Sample ID","Analyte","Vista","Eurofins","diff","percent_diff"
"245","JBA107-SW-SPILL-06232021","PFOA",246,280,-34,-12.9277566539924
"246","JBA107-SW-SPILL-06232021","PFHpS",19.8,20,-0.199999999999999,-1.00502512562814
"247","JBA107-SW-SPILL-06232021","PFNA",11,16,-5,-37.037037037037
"248","JBA107-SW-SPILL-06232021","PFOSA",12.7,5.4,7.3,80.6629834254144
"249","JBA107-SW-SPILL-06232021","PFOS",729,860,-131,-16.4883574575205
"250","JBA107-SW-SPILL-06232021","8:2 FTS",5.24,7,-1.76,-28.7581699346405
"251","JBA108-SW-RIPP-06232021","PFBA",44.6,43,1.6,3.65296803652968
"252","JBA108-SW-RIPP-06232021","PFPrS",34.4,NA,NA,NA
"253","JBA108-SW-RIPP-06232021","PFPeA",136,140,-4,-2.89855072463768
"254","JBA108-SW-RIPP-06232021","PFBS",58.2,76,-17.8,-26.5275707898659
"255","JBA108-SW-RIPP-06232021","PFHxA",226,280,-54,-21.3438735177866
"256","JBA108-SW-RIPP-06232021","PFPeS",58,67,-9,-14.4
"257","JBA108-SW-RIPP-06232021","PFHpA",61.9,56,5.9,10.008481764207
"258","JBA108-SW-RIPP-06232021","PFHxS",680,710,-30,-4.31654676258993
"259","JBA108-SW-RIPP-06232021","6:2 FTS",163,130,33,22.5255972696246
"260","JBA108-SW-RIPP-06232021","PFOA",230,320,-90,-32.7272727272727
"261","JBA108-SW-RIPP-06232021","PFHpS",18.6,26,-7.4,-33.1838565022421
"262","JBA108-SW-RIPP-06232021","PFNA",11.1,15,-3.9,-29.8850574712644
"263","JBA108-SW-RIPP-06232021","PFOSA",8.63,5.1,3.53,51.4202476329206
"264","JBA108-SW-RIPP-06232021","PFOS",725,830,-105,-13.5048231511254
"265","JBA108-SW-RIPP-06232021","8:2 FTS",6.05,7.1,-1.05,-15.9695817490494
"266","JBA109-SW-DOWN-06232021","PFBA",48.8,44,4.8,10.3448275862069
"267","JBA109-SW-DOWN-06232021","PFPrS",35,NA,NA,NA
"268","JBA109-SW-DOWN-06232021","PFPeA",132,160,-28,-19.1780821917808
"269","JBA109-SW-DOWN-06232021","PFBS",60,75,-15,-22.2222222222222
"270","JBA109-SW-DOWN-06232021","PFHxA",211,270,-59,-24.5322245322245
"271","JBA109-SW-DOWN-06232021","PFPeS",64.5,78,-13.5,-18.9473684210526
"272","JBA109-SW-DOWN-06232021","PFHpA",61.4,54,7.4,12.8249566724437
"273","JBA109-SW-DOWN-06232021","PFHxS",670,640,30,4.58015267175572
"274","JBA109-SW-DOWN-06232021","6:2 FTS",166,150,16,10.126582278481
"275","JBA109-SW-DOWN-06232021","PFOA",240,300,-60,-22.2222222222222
"276","JBA109-SW-DOWN-06232021","PFHpS",16.9,21,-4.1,-21.6358839050132
"277","JBA109-SW-DOWN-06232021","PFNA",11.1,20,-8.9,-57.2347266881029
"278","JBA109-SW-DOWN-06232021","PFOSA",8.7,5.4,3.3,46.8085106382979
"279","JBA109-SW-DOWN-06232021","PFOS",824,940,-116,-13.1519274376417
"280","JBA109-SW-DOWN-06232021","8:2 FTS",4.49,7.5,-3.01,-50.208507089241
"281","JBA110-SW-EXIT-06232021","PFBA",43.7,51,-7.3,-15.4171066525871
"282","JBA110-SW-EXIT-06232021","PFPrS",30.8,NA,NA,NA
"283","JBA110-SW-EXIT-06232021","PFPeA",135,130,5,3.77358490566038
"284","JBA110-SW-EXIT-06232021","PFBS",64.9,68,-3.09999999999999,-4.66516177577125
"285","JBA110-SW-EXIT-06232021","PFHxA",230,270,-40,-16
